#,Reference,Qty,Value,Footprint,DNP
1,"BKB1, CAP1, ENB1, ENC1, FBCH1, FBCR1, FBS1, ISET1, LX1, RDY1, SYS1, VBAT1, VSW1",13,TestPoint_Small,,
2,"C1, C5",2,27.4uF,,
3,C2,1,4.7uF,,
4,C3,1,1uF,,
5,C4,1,2.2nF,,
6,C6,1,43.2uF,,
7,"C7, C8",2,10uF,,
8,C9,1,2.2uF,,
9,C10,1,3.3uF,,
10,CSCAP1,1,7.87mF,,
11,"IBAT1, IC1, IC5, IL1, ILOAD1, ISCAP1, VENB1, VENC1, VSW2",9,TestPoint_2Pole,,
12,"J1, J2",2,Conn_01x02_Shielded,,
13,L1,1,470nH,,
14,LOAD1,1,~,,
15,R1,1,2.1MegΩ,,
16,R2,1,86.6kΩ,,
17,R3,1,499kΩ,,
18,"R4, RISET1",2,20.0kΩ,,
19,R6,1,3.57MegΩ,,
20,R7,1,1.21MegΩ,,
21,"R8, R9",2,1.00MegΩ,,
22,R10,1,R_Small_US,,
23,SW1,1,SW_SP3T,,
24,U1,1,MAX38890,Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,
25,U2,1,MCP3008,,
